match_id,anchor_frame,period,label,ball_available_ratio,cam_present_ratio,ball_speed_mean,ball_speed_max,ball_speed_at_anchor,ball_z_max,ball_z_mean,frames_z_above_1_5m,ball_dist_to_home_goal,ball_dist_to_away_goal,ball_pitch_third,possession_change_in_window,n_opponents_within_1m5,n_opponents_within_3m
684141,30,1,PASS,0.9344262295081968,1.0,25.05543258385389,58.317750299544336,26.80764816241812,7.354,2.0846052631578944,22,65.31372103590145,40.1868405769296,1.0,,0.0,0.0
684141,61,1,PASS,1.0,1.0,17.91720397565745,46.70171303068017,32.173591655269085,7.354,1.9910355191256828,22,26.898512970050966,78.23381621779677,0.0,1.0,0.0,0.0
684141,92,1,AERIAL,1.0,1.0,12.843706142607816,46.70171303068017,11.236102527122124,0.423,0.05385245901639344,0,26.841896356256203,78.6828278597052,0.0,0.0,0.0,0.0
684141,92,1,AERIAL,1.0,1.0,12.843706142607816,46.70171303068017,11.236102527122124,0.423,0.05385245901639344,0,26.841896356256203,78.6828278597052,0.0,0.0,0.0,0.0
684141,113,1,PASS,1.0,1.0,10.605904919672078,27.746170906991818,6.977105417004942,0.131,0.0380327868852459,0,36.69844274625287,69.80455357639643,1.0,1.0,0.0,0.0
684141,126,1,PASS,1.0,1.0,9.483935636922999,25.45780823244604,6.041522986797255,0.131,0.02752459016393443,0,46.91457129719934,60.88248516609683,1.0,1.0,0.0,0.0
684141,136,1,PASS,1.0,0.9836065573770492,9.153175435192626,25.45780823244604,3.405877273185312,0.4841764705882353,0.03664223722275795,0,50.263740409961535,57.657988171631516,1.0,1.0,0.0,0.0
684141,146,1,PASS,0.9016393442622951,0.819672131147541,9.317801593250955,25.45780823244604,13.318032887780342,0.9688823529411764,0.09513903743315509,0,59.767871804172515,48.8221107696093,1.0,,0.0,0.0
684141,165,1,PASS,0.819672131147541,0.7377049180327869,8.887367110082792,13.555810562264416,13.555810562264416,2.423,0.41049294117647056,2,77.75617596049847,27.267616324130717,2.0,0.0,0.0,0.0
684141,207,1,PASS,0.9180327868852459,0.9180327868852459,5.199849066112757,11.16109313642713,2.102379604162875,2.423,0.3889821428571429,2,70.55722004160877,39.517354415497,1.0,,0.0,0.0
684141,280,1,PASS,1.0,1.0,13.174447235405955,53.163897524542,22.8442552953691,1.072,0.08647540983606557,0,54.60400076917442,51.230819825569846,1.0,1.0,0.0,0.0
684141,308,1,PASS,1.0,1.0,15.470519435716955,53.163897524542,30.84736617606112,1.072,0.16418032786885248,0,65.33195007039052,43.38967273441919,1.0,1.0,0.0,0.0
684141,338,1,PASS,1.0,1.0,10.92906300315683,29.28361316504508,7.602631123499298,0.473,0.10783606557377048,0,68.30026207856014,37.464994328039076,1.0,0.0,0.0,0.0
684141,348,1,PASS,1.0,1.0,9.583117140650662,29.28361316504508,19.821453024437933,0.473,0.05727868852459016,0,62.813617154244504,42.39399131952546,1.0,0.0,0.0,0.0
684141,373,1,PASS,1.0,1.0,8.811911823946822,24.252834885843768,4.62385120867876,1.089,0.0930655737704918,0,56.63333470669019,56.167914328377904,1.0,1.0,0.0,0.0
684141,394,1,PASS,0.9836065573770492,1.0,8.64934922106735,24.252834885843768,12.219656296312124,4.400090909090909,0.6201872294372295,10,52.25055502097561,58.52538338191387,1.0,1.0,0.0,0.0
684141,405,1,PASS,0.9016393442622951,1.0,8.531645651128276,24.252834885843768,5.755866572463268,7.338,1.307118299881936,16,45.51090968108636,63.73415803162382,1.0,1.0,0.0,0.0
684141,428,1,PASS,0.8032786885245902,0.8852459016393442,10.014634991951066,39.116364861781314,9.173574156778596,8.673,3.7799588166935107,33,51.85858811380256,76.2002414531651,1.0,,0.0,0.0
684141,442,1,PASS,0.5737704918032787,0.6557377049180327,10.283374432251655,39.116364861781314,38.98525362236338,8.673,5.273599486228059,33,67.4878426088729,39.31041719442825,1.0,,0.0,0.0
684141,645,1,PASS,0.9836065573770492,1.0,7.228224399087784,26.491508073343056,3.736308338453938,1.674,0.16748095238095234,1,51.48048562319512,55.44763655918979,1.0,1.0,0.0,0.0
684141,652,1,PASS,1.0,1.0,6.616455004117237,18.766459442313554,7.502666192761116,0.653,0.046655737704918036,0,50.532390602464076,57.34564063640758,1.0,1.0,0.0,0.0
684141,666,1,PASS,1.0,1.0,6.1171623523834615,13.685393673548422,8.658521813797087,0.181,0.010491803278688523,0,54.35306891059603,59.95628490825628,1.0,1.0,0.0,0.0
684141,681,1,PASS,1.0,1.0,7.024164793148216,17.340415219942134,13.51924554107958,0.181,0.010491803278688523,0,52.95946762488376,60.51615661219003,1.0,1.0,0.0,0.0
684141,723,1,PASS,1.0,1.0,10.048264395541512,25.31600284405105,25.31600284405105,0.194,0.03206557377049181,0,26.632320589839708,85.81480350149384,0.0,1.0,0.0,0.0
684141,748,1,PASS,0.7049180327868853,0.6229508196721312,10.645646027847803,25.31600284405105,7.766595135579021,0.3511428571428571,0.09463787375415282,0,17.04475285828457,88.67425556496092,0.0,,0.0,0.0
684141,785,1,PASS,0.5245901639344263,0.47540983606557374,13.364554334618054,24.748737341529196,11.301769772916078,0.82,0.5304977678571429,0,,,,1.0,,
684141,815,1,PASS,0.6721311475409836,0.9508196721311475,13.722382027611694,24.748737341529196,9.682974749528167,0.935,0.632310298102981,0,63.25524800362417,63.58636960858829,1.0,,0.0,0.0
684141,823,1,PASS,0.6229508196721312,1.0,13.722382027611694,24.748737341529196,14.757345628533571,0.935,0.6188479532163743,0,,,,,,
684141,853,1,PASS,0.13114754098360656,1.0,9.377802096100925,9.377802096100961,9.37780209610089,0.935,0.8997777777777778,0,,,,,,
684141,881,1,TACKLE,0.3114754098360656,1.0,10.126637734216548,27.735356496717333,27.735356496717333,1.024,0.26989473684210524,0,,,,,,
684141,897,1,PASS,0.5737704918032787,1.0,7.663767171854963,27.735356496717333,15.041608956491292,1.524,0.5059142857142858,1,70.13913315689038,59.15993576737554,1.0,,0.0,0.0
684141,907,1,BALL RECOVERY,0.7377049180327869,1.0,9.417732788652835,28.65745976181421,4.410215414239967,1.524,0.5343111111111111,1,75.07956912502895,53.79908642347006,1.0,,0.0,0.0
684141,918,1,PASS,0.9180327868852459,1.0,9.047467530638576,28.65745976181421,1.1661903789690231,1.524,0.43226785714285715,1,74.65832706403219,52.47442996355463,1.0,,0.0,0.0
684141,969,1,PASS,0.5409836065573771,1.0,8.337004078409734,16.227445886522137,1.5982773435165223,0.173,0.04236363636363635,0,81.33563314763478,50.228560565177496,2.0,,0.0,0.0
684141,980,1,PASS,0.45901639344262296,1.0,7.619872456848686,16.227445886522137,1.5982773435165223,0.173,0.05782142857142856,0,,,,0.0,,
684141,989,1,PASS,0.45901639344262296,1.0,6.291366045440171,15.747063218263886,3.8483762809788344,0.173,0.06589285714285713,0,,,,0.0,,
684141,1063,1,PASS,0.6229508196721312,0.5737704918032787,9.300995975773755,33.911944798256556,24.607722365143808,0.424,0.1820798548094374,0,,,,1.0,,
684141,1096,1,PASS,0.9016393442622951,0.8524590163934426,8.368662642888841,26.006922155456994,4.681879964287841,1.173,0.2924191387559808,0,75.37174536920317,32.82834141408914,2.0,,0.0,0.0
684141,1130,1,PASS,0.4426229508196721,0.36065573770491804,9.482864141348635,26.006922155456994,1.645617775778529,1.173,0.2672982456140351,0,,,,,,
684141,1257,1,PASS,1.0,1.0,9.397451436024603,23.907530194480533,3.5846896657870113,1.346,0.5071803278688525,0,81.98499813990361,30.861301333547168,2.0,1.0,0.0,0.0
684141,1321,1,PASS,1.0,1.0,8.55293345643264,20.43942269243436,5.162363799656105,0.292,0.10567213114754098,0,68.66878475697673,37.04324499824496,1.0,1.0,0.0,0.0
684141,1351,1,PASS,1.0,1.0,11.337076969610468,20.43942269243436,12.228654872879405,0.3063333333333333,0.08331147540983605,0,85.39803803366912,20.015616403198784,2.0,1.0,0.0,0.0
684141,1368,1,PASS,1.0,1.0,10.872533802252429,20.43942269243436,12.816005617976264,0.342,0.05019672131147541,0,87.1020332713307,24.75205446018573,2.0,1.0,0.0,0.0
684141,1393,1,PASS,1.0,1.0,10.936061209953955,24.01416248799863,5.186520991955928,0.342,0.045901639344262286,0,91.88328466048652,30.337073029545888,2.0,1.0,0.0,0.0
684141,1448,1,PASS,0.3114754098360656,0.22950819672131148,11.682843502007536,24.01416248799863,2.990825534839904,0.127,0.04211717974180734,0,,,,,,
684141,1509,1,PASS,0.9180327868852459,0.9508196721311475,20.066034404433612,42.44455206501776,32.32785176902422,1.282,0.42925892857142856,0,75.47269704999285,31.56466378721624,2.0,,0.0,0.0
684141,1534,1,PASS,0.8360655737704918,1.0,21.75957747280559,42.44455206501776,35.102279128284586,1.282,0.6250980392156863,0,52.34815182984018,75.54885174507947,1.0,,0.0,0.0
684141,1614,1,PASS,0.7377049180327869,1.0,7.2036345609545425,15.575621977950046,3.1016124838541863,0.473,0.24249883040935674,0,54.710233960384414,76.39770742633577,1.0,,0.0,0.0
684141,1634,1,PASS,0.4098360655737705,1.0,5.318081252490428,11.810588469674087,3.021191313523326,0.284,0.2320178947368421,0,,,,,,
684141,1671,1,PASS,0.04918032786885246,1.0,16.509026361075616,16.917742166140258,16.917742166140258,0.002,0.0006666666666666666,0,,,,,,
684141,1726,1,PASS,0.8360655737704918,1.0,14.625099554646557,46.70171303068015,5.069516742254612,0.222,0.008745098039215686,0,77.94398501488105,31.248436760900535,2.0,,1.0,2.0
