,AERIAL,CLEARANCE,NO EVENT,PASS,POSSESSION_CHANGE_GROUP,SHOT_OR_GK_GROUP
AERIAL,135,8,95,131,72,91
CLEARANCE,3,0,31,7,6,10
NO EVENT,312,49,1821,820,536,224
PASS,536,44,1059,3323,1141,498
POSSESSION_CHANGE_GROUP,100,11,252,383,239,113
SHOT_OR_GK_GROUP,19,6,67,26,31,58
