event_id,event_type_id,event_type_name,team_id,team_name,player_id,player_name,period_id,min,sec,milisec,x,y,x_end,y_end,outcome,event_abs_sec,attack_dir,x_m,y_m,x_end_m,y_end_m,matched_frame,matched_frame_idx,time_residual_s,time_matched,period_clock_offset_s,period_offset_spatial_dist_m,period_offset_n_anchors
538329629,1,PASS,7193,Lille,1290555,Hakon Arnar Haraldsson,1,0,1,7,49.0,50.0,31.0,50.0,True,1.007,1.0,51.449999999999996,34.0,32.55,34.0,10,10,0.006999999999999673,True,3.5599999999999454,28.655325202804775,534.0
538329630,1,PASS,7193,Lille,1211911,Berke Ozer,1,0,9,626,31.5,50.4,75.0,74.0,True,9.626,1.0,33.075,34.272,78.75,50.32,96,96,0.0259999999999998,True,3.5599999999999454,28.655325202804775,534.0
538329631,1,PASS,7193,Lille,138414,Benjamin Andre,1,0,11,855,74.7,73.5,71.0,64.0,True,11.855,1.0,78.435,49.98,74.55,43.52,119,119,0.04499999999999993,True,3.5599999999999454,28.655325202804775,534.0
538329632,1,PASS,7193,Lille,1290555,Hakon Arnar Haraldsson,1,0,12,694,70.6,64.4,78.0,69.0,True,12.693999999999999,1.0,74.13,43.792,81.9,46.919999999999995,127,127,0.006000000000000227,True,3.5599999999999454,28.655325202804775,534.0
538329633,1,PASS,7193,Lille,138414,Benjamin Andre,1,0,13,398,77.5,69.4,70.0,70.0,True,13.398,1.0,81.375,47.19200000000001,73.5,47.599999999999994,134,134,0.0019999999999988916,True,3.5599999999999454,28.655325202804775,534.0
538329634,1,PASS,7193,Lille,1972563,Ayyoub Bouaddi,1,0,14,809,69.5,69.5,,,False,14.809,1.0,72.975,47.26,,,148,148,0.008999999999996788,True,3.5599999999999454,28.655325202804775,534.0
538329635,1,PASS,7193,Lille,1159693,Romain Perraud,1,0,33,460,81.0,100.0,85.0,87.0,True,33.46,1.0,85.05000000000001,68.0,89.25,59.16,337,337,0.03999999999999915,True,3.5599999999999454,28.655325202804775,534.0
538329636,1,PASS,7193,Lille,138414,Benjamin Andre,1,0,34,55,84.7,87.4,79.0,95.0,True,34.055,1.0,88.935,59.43200000000001,82.95,64.6,343,343,0.045000000000001705,True,3.5599999999999454,28.655325202804775,534.0
29525964,3,TAKEON,7193,Lille,1159693,Romain Perraud,1,0,35,670,79.5,95.2,,,False,35.67,1.0,83.47500000000001,64.736,,,359,359,0.030000000000001137,True,3.5599999999999454,28.655325202804775,534.0
19229306,7,TACKLE,7198,Lorient,1697067,Panos Katseris,1,0,35,947,21.4,5.3,,,False,35.947,-1.0,82.53,64.396,,,361,361,0.04700000000000415,True,3.5599999999999454,28.655325202804775,534.0
