event_id,event_type_id,event_type_name,team_id,team_name,player_id,player_name,period_id,min,sec,milisec,x,y,x_end,y_end,outcome,event_abs_sec,attack_dir,x_m,y_m,x_end_m,y_end_m,matched_frame,matched_frame_idx,time_residual_s,time_matched,period_clock_offset_s,period_offset_spatial_dist_m,period_offset_n_anchors
567101407,1,PASS,46,Lazio,1209110,Taty Castellanos,1,0,1,342,50.0,50.0,38.0,37.0,True,1.342,-1.0,52.5,34.0,65.1,42.84,13,13,0.04200000000000026,True,0.5199999999999818,27.12953027002337,542.0
567101408,1,PASS,46,Lazio,1237958,Mario Gila,1,0,2,642,37.5,36.6,34.0,48.0,True,2.642,-1.0,65.625,43.112,69.3,35.36,26,26,0.041999999999999815,True,0.5199999999999818,27.12953027002337,542.0
567101409,1,PASS,46,Lazio,305,Alessio Romagnoli,1,0,4,475,34.2,47.6,64.0,6.0,True,4.475,-1.0,69.09,35.632,37.8,63.92,45,45,0.025000000000000355,True,0.5199999999999818,27.12953027002337,542.0
567101410,1,PASS,46,Lazio,1166601,Adam Marusic,1,0,7,225,64.4,6.4,,,False,7.225,-1.0,37.379999999999995,63.647999999999996,,,72,72,0.025000000000000355,True,0.5199999999999818,27.12953027002337,542.0
567101411,1,PASS,12,Bologna,1248525,Juan Miranda,1,0,9,215,31.0,93.2,40.0,76.0,True,9.215,1.0,32.55,63.376000000000005,42.0,51.68,92,92,0.015000000000000568,True,0.5199999999999818,27.12953027002337,542.0
567101412,1,PASS,12,Bologna,1159489,Nikola Moro,1,0,10,826,39.7,76.3,,,False,10.826,1.0,41.685,51.884,,,108,108,0.0259999999999998,True,0.5199999999999818,27.12953027002337,542.0
567101413,1,PASS,46,Lazio,1166601,Adam Marusic,1,0,18,590,47.0,0.0,38.0,8.0,True,18.59,-1.0,55.650000000000006,68.0,65.1,62.56,187,187,0.010000000000001563,True,0.5199999999999818,27.12953027002337,542.0
567101414,1,PASS,46,Lazio,1237958,Mario Gila,1,0,20,866,37.8,7.8,31.0,34.0,True,20.866,-1.0,65.31,62.696,72.45,44.879999999999995,210,210,0.013999999999999346,True,0.5199999999999818,27.12953027002337,542.0
567101415,1,PASS,46,Lazio,305,Alessio Romagnoli,1,0,23,804,31.2,34.5,18.0,5.0,True,23.804,-1.0,72.24000000000001,44.540000000000006,86.1,64.6,239,239,0.023999999999997357,True,0.5199999999999818,27.12953027002337,542.0
567101416,1,PASS,46,Lazio,1237958,Mario Gila,1,0,28,6,18.5,5.0,,,False,28.006,-1.0,85.575,64.6,,,281,281,0.0259999999999998,True,0.5199999999999818,27.12953027002337,542.0
567101417,1,PASS,12,Bologna,1270678,Torbjorn Heggem,1,0,30,272,42.1,78.9,69.0,94.0,True,30.272,1.0,44.205000000000005,53.652,72.44999999999999,63.919999999999995,304,304,0.008000000000002672,True,0.5199999999999818,27.12953027002337,542.0
567101418,1,PASS,46,Lazio,1166601,Adam Marusic,1,0,32,348,31.5,5.8,,,False,32.348,-1.0,71.925,64.056,,,325,325,0.03200000000000358,True,0.5199999999999818,27.12953027002337,542.0
567101419,1,PASS,12,Bologna,1251607,Tommaso Pobega,1,0,33,531,53.5,80.3,60.0,73.0,True,33.531,1.0,56.175000000000004,54.604,63.0,49.64,337,337,0.04899999999999949,True,0.5199999999999818,27.12953027002337,542.0
567101420,1,PASS,12,Bologna,1159489,Nikola Moro,1,0,34,590,60.2,73.3,63.0,85.0,True,34.59,1.0,63.21,49.844,66.15,57.8,347,347,0.010000000000005116,True,0.5199999999999818,27.12953027002337,542.0
567101421,1,PASS,12,Bologna,1269823,Nicolo Cambiaghi,1,0,37,601,62.7,85.4,67.0,80.0,True,37.601,1.0,65.835,58.072,70.35000000000001,54.400000000000006,377,377,0.021000000000000796,True,0.5199999999999818,27.12953027002337,542.0
