event_id,event_type_id,event_type_name,team_id,team_name,player_id,player_name,period_id,min,sec,milisec,x,y,x_end,y_end,outcome,event_abs_sec,attack_dir,x_m,y_m,x_end_m,y_end_m,matched_frame,matched_frame_idx,time_residual_s,time_matched,period_clock_offset_s,period_offset_spatial_dist_m,period_offset_n_anchors
536742912,1,PASS,4276,Elche,1302637,Aleix Febas,1,0,3,193,50.0,50.0,24.0,52.0,True,3.193,1.0,52.5,34.0,25.2,35.36,32,32,0.007000000000000117,True,0.5199999999999818,26.424473050564316,515.0
536742913,1,PASS,4276,Elche,1170059,Matias Dituro,1,0,7,115,23.8,52.0,,,False,7.115,1.0,24.990000000000002,35.36,,,71,71,0.015000000000000568,True,0.5199999999999818,26.424473050564316,515.0
51618666,44,AERIAL,1,Atletico Madrid,1267060,Pablo Barrios,1,0,9,775,36.3,26.4,,,True,9.775,-1.0,66.88499999999999,50.048,,,98,98,0.025000000000000355,True,0.5199999999999818,26.424473050564316,515.0
51618667,44,AERIAL,4276,Elche,1530640,Alvaro Rodriguez,1,0,10,6,63.9,74.1,,,False,10.006,1.0,67.095,50.388,,,100,100,0.006000000000000227,True,0.5199999999999818,26.424473050564316,515.0
33340868,4,FOUL,1,Atletico Madrid,1341673,Giuliano Simeone,1,0,14,750,34.7,20.0,,,True,14.75,-1.0,68.565,54.4,,,147,147,0.05000000000000071,True,0.5199999999999818,26.424473050564316,515.0
33340867,4,FOUL,4276,Elche,1313234,German Valera,1,0,14,750,65.3,80.0,,,False,14.75,1.0,68.565,54.400000000000006,,,147,147,0.05000000000000071,True,0.5199999999999818,26.424473050564316,515.0
536742914,1,PASS,1,Atletico Madrid,0,Unknown,1,0,25,70,39.8,20.7,,,True,25.07,-1.0,63.21,53.924,,,251,251,0.030000000000001137,True,0.5199999999999818,26.424473050564316,515.0
536742915,1,PASS,1,Atletico Madrid,191151,Marcos Llorente,1,0,27,14,31.7,12.6,13.0,15.0,True,27.014,-1.0,71.715,59.432,91.35,57.8,270,270,0.013999999999999346,True,0.5199999999999818,26.424473050564316,515.0
536742916,1,PASS,1,Atletico Madrid,1248287,Robin Le Normand,1,0,30,815,12.8,15.3,31.0,5.0,True,30.815,-1.0,91.56,57.596000000000004,72.45,64.6,308,308,0.015000000000000568,True,0.5199999999999818,26.424473050564316,515.0
536742917,1,PASS,1,Atletico Madrid,191151,Marcos Llorente,1,0,32,170,31.2,4.8,42.0,33.0,True,32.17,-1.0,72.24000000000001,64.736,60.9,45.56,322,322,0.030000000000001137,True,0.5199999999999818,26.424473050564316,515.0
19103995,7,TACKLE,4276,Elche,1265739,Marc Aguado,1,0,33,511,57.6,67.3,,,False,33.511,1.0,60.480000000000004,45.763999999999996,,,335,335,0.011000000000002785,True,0.5199999999999818,26.424473050564316,515.0
14779545,50,DISPOSSESSED,1,Atletico Madrid,0,Unknown,1,0,33,511,41.9,33.3,,,True,33.511,-1.0,61.005,45.356,,,335,335,0.011000000000002785,True,0.5199999999999818,26.424473050564316,515.0
536742918,1,PASS,1,Atletico Madrid,1267060,Pablo Barrios,1,0,35,839,33.5,41.3,36.0,86.0,True,35.839,-1.0,69.82499999999999,39.916,67.2,9.520000000000003,358,358,0.03900000000000148,True,0.5199999999999818,26.424473050564316,515.0
536742919,1,PASS,1,Atletico Madrid,1290391,Matteo Ruggeri,1,0,38,142,35.6,85.6,60.0,90.0,True,38.142,-1.0,67.62,9.792000000000002,42.0,6.799999999999997,381,381,0.04200000000000159,True,0.5199999999999818,26.424473050564316,515.0
536742920,1,PASS,1,Atletico Madrid,1341673,Giuliano Simeone,1,0,42,274,59.7,90.2,53.0,93.0,True,42.274,-1.0,42.315000000000005,6.6640000000000015,49.349999999999994,4.759999999999998,423,423,0.02599999999999625,True,0.5199999999999818,26.424473050564316,515.0
536742921,1,PASS,1,Atletico Madrid,1290391,Matteo Ruggeri,1,0,43,863,53.4,92.8,39.0,55.0,True,43.863,-1.0,48.93,4.896000000000001,64.05,30.599999999999994,439,439,0.036999999999999034,True,0.5199999999999818,26.424473050564316,515.0
536742922,1,PASS,1,Atletico Madrid,1219816,David Hancko,1,0,50,715,39.2,54.8,42.0,18.0,True,50.715,-1.0,63.839999999999996,30.736000000000004,60.9,55.76,507,507,0.015000000000000568,True,0.5199999999999818,26.424473050564316,515.0
536742923,1,PASS,1,Atletico Madrid,1248287,Robin Le Normand,1,0,53,519,41.6,18.0,92.0,7.0,True,53.519,-1.0,61.31999999999999,55.76,8.399999999999991,63.24,535,535,0.01899999999999835,True,0.5199999999999818,26.424473050564316,515.0
536742924,1,PASS,1,Atletico Madrid,1212008,Thiago Almada,1,0,57,448,92.3,6.9,,,False,57.448,-1.0,8.085000000000008,63.308,,,574,574,0.04800000000000182,True,0.5199999999999818,26.424473050564316,515.0
536742925,1,PASS,4276,Elche,1294048,David Affengruber,1,1,3,340,9.6,55.6,10.0,74.0,True,63.34,1.0,10.08,37.80800000000001,10.5,50.32,633,633,0.04000000000000625,True,0.5199999999999818,26.424473050564316,515.0
