event_id,event_type_id,event_type_name,team_id,team_name,player_id,player_name,period_id,min,sec,milisec,x,y,x_end,y_end,outcome,event_abs_sec,attack_dir,x_m,y_m,x_end_m,y_end_m,matched_frame,matched_frame_idx,time_residual_s,time_matched,period_clock_offset_s,period_offset_spatial_dist_m,period_offset_n_anchors
572115562,1,PASS,4264,Espanyol,193721,Pere Milla,1,0,2,169,50.0,49.0,41.0,57.0,True,2.169,-1.0,52.5,34.68,61.95,29.240000000000002,22,22,0.03100000000000014,True,0.5199999999999818,28.76655669349392,587.0
572115563,1,PASS,4264,Espanyol,1162602,Eduardo Exposito,1,0,4,45,41.4,56.6,47.0,89.0,True,4.045,-1.0,61.53,29.511999999999993,55.650000000000006,7.479999999999997,40,40,0.04499999999999993,True,0.5199999999999818,28.76655669349392,587.0
572115564,1,PASS,4264,Espanyol,1321552,Carlos Romero,1,0,6,732,47.1,88.5,29.0,77.0,True,6.732,-1.0,55.544999999999995,7.82,74.55,15.64,67,67,0.03200000000000003,True,0.5199999999999818,28.76655669349392,587.0
572115565,1,PASS,4264,Espanyol,1166715,Leandro Cabrera,1,0,9,289,28.6,77.3,26.0,49.0,True,9.289,-1.0,74.97,15.436,77.7,34.68,93,93,0.011000000000001009,True,0.5199999999999818,28.76655669349392,587.0
572115566,1,PASS,4264,Espanyol,1217050,Fernando Calero,1,0,11,937,26.5,49.2,27.0,74.0,True,11.937,-1.0,77.175,34.544,76.65,17.68,119,119,0.036999999999999034,True,0.5199999999999818,28.76655669349392,587.0
572115567,1,PASS,4264,Espanyol,1166715,Leandro Cabrera,1,0,15,151,27.1,74.0,24.0,56.0,True,15.151,-1.0,76.545,17.68,79.8,29.919999999999995,152,152,0.04899999999999949,True,0.5199999999999818,28.76655669349392,587.0
572115568,1,PASS,4264,Espanyol,1217050,Fernando Calero,1,0,16,474,24.3,55.5,30.0,60.0,True,16.474,-1.0,79.485,30.259999999999998,73.5,27.200000000000003,165,165,0.0259999999999998,True,0.5199999999999818,28.76655669349392,587.0
572115569,1,PASS,4264,Espanyol,1296894,Pol Lozano,1,0,17,940,30.0,60.0,31.0,81.0,True,17.94,-1.0,73.5,27.200000000000003,72.45,12.919999999999995,179,179,0.0400000000000027,True,0.5199999999999818,28.76655669349392,587.0
572115570,1,PASS,4264,Espanyol,1166715,Leandro Cabrera,1,0,20,525,30.7,81.4,67.0,81.0,True,20.525,-1.0,72.765,12.647999999999996,34.64999999999999,12.919999999999995,205,205,0.02499999999999858,True,0.5199999999999818,28.76655669349392,587.0
572115571,1,PASS,4264,Espanyol,193721,Pere Milla,1,0,22,399,67.3,81.2,65.0,67.0,True,22.399,-1.0,34.33500000000001,12.783999999999999,36.75,22.439999999999998,224,224,0.0009999999999976694,True,0.5199999999999818,28.76655669349392,587.0
572115572,1,PASS,4264,Espanyol,1321114,Roberto Fernandez,1,0,23,970,64.7,67.4,57.0,75.0,True,23.97,-1.0,37.065,22.168,45.150000000000006,17.0,240,240,0.030000000000001137,True,0.5199999999999818,28.76655669349392,587.0
572115573,1,PASS,4264,Espanyol,1296894,Pol Lozano,1,0,24,968,57.2,75.5,65.0,53.0,True,24.968,-1.0,44.93999999999999,16.659999999999997,36.75,31.96,250,250,0.03200000000000003,True,0.5199999999999818,28.76655669349392,587.0
572115574,1,PASS,4264,Espanyol,1162602,Eduardo Exposito,1,0,26,136,65.0,53.2,46.0,46.0,True,26.136,-1.0,36.75,31.823999999999998,56.699999999999996,36.72,261,261,0.03599999999999781,True,0.5199999999999818,28.76655669349392,587.0
572115575,1,PASS,4264,Espanyol,1453326,Urko Gonzalez,1,0,28,860,46.4,46.2,30.0,45.0,True,28.86,-1.0,56.28,36.584,73.5,37.4,289,289,0.03999999999999915,True,0.5199999999999818,28.76655669349392,587.0
572115576,1,PASS,4264,Espanyol,1217050,Fernando Calero,1,0,31,30,30.3,44.9,31.0,14.0,True,31.03,-1.0,73.185,37.468,72.45,58.48,310,310,0.030000000000001137,True,0.5199999999999818,28.76655669349392,587.0
572115577,1,PASS,4264,Espanyol,1527955,Omar El Hilali,1,0,33,365,31.1,13.7,47.0,13.0,True,33.365,-1.0,72.345,58.684,55.650000000000006,59.16,334,334,0.03499999999999659,True,0.5199999999999818,28.76655669349392,587.0
572115578,1,PASS,4264,Espanyol,1162602,Eduardo Exposito,1,0,34,243,46.6,13.3,,,False,34.243,-1.0,56.07,58.956,,,342,342,0.04299999999999926,True,0.5199999999999818,28.76655669349392,587.0
572115579,1,PASS,20076,Girona FC,1268150,Ivan Martin,1,0,36,127,51.0,66.7,50.0,73.0,True,36.127,1.0,53.550000000000004,45.356,52.5,49.64,361,361,0.027000000000001023,True,0.5199999999999818,28.76655669349392,587.0
28997135,61,BALL TOUCH,20076,Girona FC,138318,Thomas Lemar,1,0,36,720,50.4,72.6,,,True,36.72,1.0,52.92,49.367999999999995,,,367,367,0.01999999999999602,True,0.5199999999999818,28.76655669349392,587.0
572115580,1,PASS,20076,Girona FC,138318,Thomas Lemar,1,0,39,204,45.3,63.0,34.0,59.0,True,39.204,1.0,47.565,42.84,35.7,40.12,392,392,0.003999999999997783,True,0.5199999999999818,28.76655669349392,587.0
572115581,1,PASS,20076,Girona FC,1746587,Vitor Reis,1,0,40,438,34.5,59.4,29.0,77.0,True,40.438,1.0,36.224999999999994,40.391999999999996,30.45,52.36,404,404,0.03800000000000381,True,0.5199999999999818,28.76655669349392,587.0
