event_id,event_type_id,event_type_name,team_id,team_name,player_id,player_name,period_id,min,sec,milisec,x,y,x_end,y_end,outcome,event_abs_sec,attack_dir,x_m,y_m,x_end_m,y_end_m,matched_frame,matched_frame_idx,time_residual_s,time_matched,period_clock_offset_s,period_offset_spatial_dist_m,period_offset_n_anchors
566411773,1,PASS,8561,FC Brentford,1277032,Kevin Schade,1,0,2,433,51.0,49.0,43.0,54.0,True,2.433,-1.0,51.449999999999996,34.68,59.85,31.28,24,24,0.03299999999999992,True,0.5599999999999454,29.811028663545226,602.0
566411774,1,PASS,8561,FC Brentford,1221904,Mathias Jensen,1,0,4,165,42.8,54.0,47.0,39.0,True,4.165,-1.0,60.06,31.28,55.650000000000006,41.480000000000004,42,42,0.03500000000000014,True,0.5599999999999454,29.811028663545226,602.0
566411775,1,PASS,8561,FC Brentford,1162613,Vitaly Janelt,1,0,5,24,46.5,39.0,37.0,45.0,True,5.024,-1.0,56.175,41.480000000000004,66.15,37.4,50,50,0.02400000000000002,True,0.5599999999999454,29.811028663545226,602.0
566411776,1,PASS,8561,FC Brentford,1165515,Ethan Pinnock,1,0,7,384,37.2,45.0,41.0,67.0,True,7.384,-1.0,65.94,37.4,61.95,22.439999999999998,74,74,0.016000000000000014,True,0.5599999999999454,29.811028663545226,602.0
566411777,1,PASS,8561,FC Brentford,1170336,Sepp Van Den Berg,1,0,10,868,40.6,66.6,34.0,47.0,True,10.868,-1.0,62.37,22.712000000000003,69.3,36.040000000000006,109,109,0.03200000000000003,True,0.5599999999999454,29.811028663545226,602.0
566411778,1,PASS,8561,FC Brentford,1165515,Ethan Pinnock,1,0,13,130,34.2,47.5,19.0,51.0,True,13.13,-1.0,69.09,35.7,85.05,33.32,131,131,0.030000000000001137,True,0.5599999999999454,29.811028663545226,602.0
566411779,1,PASS,8561,FC Brentford,1247852,Caoimhin Kelleher,1,0,15,944,19.4,50.7,,,False,15.943999999999999,-1.0,84.63,33.524,,,159,159,0.04400000000000048,True,0.5599999999999454,29.811028663545226,602.0
566411780,1,PASS,1928,Arsenal FC,1267742,Piero Hincapie,1,0,20,106,23.6,62.7,10.0,43.0,True,20.106,1.0,24.78,42.636,10.5,29.24,201,201,0.006000000000000227,True,0.5599999999999454,29.811028663545226,602.0
566411781,1,PASS,1928,Arsenal FC,257909,David Raya,1,0,21,831,10.4,43.1,13.0,85.0,True,21.831,1.0,10.920000000000002,29.308,13.65,57.8,218,218,0.030999999999998806,True,0.5599999999999454,29.811028663545226,602.0
566411782,1,PASS,1928,Arsenal FC,1267742,Piero Hincapie,1,0,24,892,13.0,84.6,23.0,93.0,True,24.892,1.0,13.65,57.528,24.150000000000002,63.24,249,249,0.007999999999999119,True,0.5599999999999454,29.811028663545226,602.0
566411783,1,PASS,1928,Arsenal FC,1308153,Riccardo Calafiori,1,0,28,466,23.1,92.5,11.0,86.0,True,28.466,1.0,24.255000000000003,62.900000000000006,11.55,58.48,285,285,0.03399999999999892,True,0.5599999999999454,29.811028663545226,602.0
566411784,1,PASS,1928,Arsenal FC,1267742,Piero Hincapie,1,0,30,603,11.2,86.4,3.0,71.0,True,30.603,1.0,11.759999999999998,58.75200000000001,3.15,48.28,306,306,0.0030000000000001137,True,0.5599999999999454,29.811028663545226,602.0
566411785,1,PASS,1928,Arsenal FC,257909,David Raya,1,0,31,562,3.4,71.0,11.0,95.0,True,31.562,1.0,3.5700000000000003,48.28,11.55,64.6,316,316,0.03800000000000381,True,0.5599999999999454,29.811028663545226,602.0
566411786,1,PASS,1928,Arsenal FC,1267742,Piero Hincapie,1,0,34,779,10.9,95.0,,,False,34.779,1.0,11.445,64.6,,,348,348,0.02099999999999369,True,0.5599999999999454,29.811028663545226,602.0
28238832,61,BALL TOUCH,8561,FC Brentford,1553280,Michael Kayode,1,0,36,800,57.5,23.7,,,True,36.8,-1.0,44.62500000000001,51.884,,,368,368,0.0,True,0.5599999999999454,29.811028663545226,602.0
566411787,1,PASS,8561,FC Brentford,1170336,Sepp Van Den Berg,1,0,39,795,39.5,57.8,14.0,46.0,True,39.795,-1.0,63.525,28.696000000000005,90.3,36.72,398,398,0.0049999999999954525,True,0.5599999999999454,29.811028663545226,602.0
566411788,1,PASS,8561,FC Brentford,1247852,Caoimhin Kelleher,1,0,44,229,14.3,46.0,,,False,44.229,-1.0,89.985,36.72,,,442,442,0.028999999999996362,True,0.5599999999999454,29.811028663545226,602.0
566411789,1,PASS,1928,Arsenal FC,1308153,Riccardo Calafiori,1,0,50,460,65.0,100.0,96.0,76.0,True,50.46,1.0,68.25,68.0,100.8,51.68,507,507,0.03999999999999915,True,0.5599999999999454,29.811028663545226,602.0
566411790,1,PASS,1928,Arsenal FC,1295026,Martinelli,1,0,53,199,95.5,76.4,,,False,53.199,1.0,100.27499999999999,51.952,,,534,534,0.0010000000000047748,True,0.5599999999999454,29.811028663545226,602.0
46765469,49,BALL RECOVERY,8561,FC Brentford,1329572,Yehor Yarmoliuk,1,0,54,508,12.3,43.4,12.0,43.0,True,54.508,-1.0,92.085,38.488,92.4,38.760000000000005,547,547,0.008000000000002672,True,0.5599999999999454,29.811028663545226,602.0
566411791,1,PASS,8561,FC Brentford,1170336,Sepp Van Den Berg,1,1,23,756,0.3,62.1,4.0,49.0,True,83.756,-1.0,104.685,25.772,100.8,34.68,842,842,0.04399999999999693,True,0.5599999999999454,29.811028663545226,602.0
28238833,61,BALL TOUCH,8561,FC Brentford,1247852,Caoimhin Kelleher,1,1,24,195,4.0,48.7,,,True,84.195,-1.0,100.8,34.884,,,846,846,0.005000000000009663,True,0.5599999999999454,29.811028663545226,602.0
566411792,1,PASS,8561,FC Brentford,1247852,Caoimhin Kelleher,1,1,25,790,10.8,50.6,66.0,61.0,True,85.79,-1.0,93.66,33.592,35.7,26.520000000000003,862,862,0.009999999999990905,True,0.5599999999999454,29.811028663545226,602.0
54461859,44,AERIAL,8561,FC Brentford,1277032,Kevin Schade,1,1,28,904,65.7,60.6,,,True,88.904,-1.0,36.015,26.792,,,893,893,0.003999999999990678,True,0.5599999999999454,29.811028663545226,602.0
54461860,44,AERIAL,1928,Arsenal FC,1701729,Cristhian Mosquera,1,1,29,23,34.1,39.3,,,False,89.023,1.0,35.805,26.723999999999997,,,894,894,0.022999999999996135,True,0.5599999999999454,29.811028663545226,602.0
566411793,1,PASS,1928,Arsenal FC,1267742,Piero Hincapie,1,1,32,99,21.6,67.0,29.0,67.0,True,92.099,1.0,22.680000000000003,45.56,30.45,45.56,925,925,0.000999999999990564,True,0.5599999999999454,29.811028663545226,602.0
566411794,1,PASS,1928,Arsenal FC,1308153,Riccardo Calafiori,1,1,37,710,29.4,67.4,19.0,51.0,True,97.71,1.0,30.869999999999997,45.832,19.95,34.68,981,981,0.009999999999990905,True,0.5599999999999454,29.811028663545226,602.0
566411795,1,PASS,1928,Arsenal FC,1268049,Martin Zubimendi,1,1,39,432,18.8,51.2,3.0,55.0,True,99.432,1.0,19.74,34.816,3.15,37.400000000000006,998,998,0.031999999999996476,True,0.5599999999999454,29.811028663545226,602.0
566411796,1,PASS,1928,Arsenal FC,257909,David Raya,1,1,42,77,2.6,55.2,42.0,77.0,True,102.077,1.0,2.7300000000000004,37.536,44.1,52.36,1025,1025,0.022999999999996135,True,0.5599999999999454,29.811028663545226,602.0
34857186,4,FOUL,1928,Arsenal FC,1295026,Martinelli,1,1,48,128,40.7,76.3,,,True,108.128,1.0,42.735,51.884,,,1087,1087,0.012000000000000455,True,0.5599999999999454,29.811028663545226,602.0
34857185,4,FOUL,8561,FC Brentford,1156913,Kristoffer Ajer,1,1,48,128,59.3,23.7,,,False,108.128,-1.0,42.735,51.884,,,1087,1087,0.012000000000000455,True,0.5599999999999454,29.811028663545226,602.0
566411797,1,PASS,1928,Arsenal FC,0,Unknown,1,1,57,802,33.4,78.4,,,True,117.802,1.0,35.06999999999999,53.312000000000005,,,1184,1184,0.0020000000000095497,True,0.5599999999999454,29.811028663545226,602.0
566411798,1,PASS,1928,Arsenal FC,1268049,Martin Zubimendi,1,2,1,452,33.6,52.9,38.0,52.0,True,121.452,1.0,35.28,35.972,39.9,35.36,1221,1221,0.04800000000000182,True,0.5599999999999454,29.811028663545226,602.0
566411799,1,PASS,1928,Arsenal FC,195773,Martin Ødegaard,1,2,2,156,37.9,51.8,36.0,59.0,True,122.156,1.0,39.795,35.224000000000004,37.8,40.12,1228,1228,0.04399999999999693,True,0.5599999999999454,29.811028663545226,602.0
566411800,1,PASS,1928,Arsenal FC,1268049,Martin Zubimendi,1,2,4,840,36.3,58.9,37.0,82.0,True,124.84,1.0,38.115,40.052,38.85,55.76,1254,1254,0.04000000000000625,True,0.5599999999999454,29.811028663545226,602.0
28238834,61,BALL TOUCH,1928,Arsenal FC,1158364,Declan Rice,1,2,7,132,37.2,82.4,,,True,127.132,1.0,39.06,56.032000000000004,,,1277,1277,0.03200000000001069,True,0.5599999999999454,29.811028663545226,602.0
566411801,1,PASS,1928,Arsenal FC,1158364,Declan Rice,1,2,8,337,48.5,80.5,57.0,86.0,True,128.337,1.0,50.925,54.74,59.849999999999994,58.48,1289,1289,0.03699999999997772,True,0.5599999999999454,29.811028663545226,602.0
566411802,1,PASS,1928,Arsenal FC,1308153,Riccardo Calafiori,1,2,10,360,57.2,86.3,,,False,130.36,1.0,60.06000000000001,58.684,,,1310,1310,0.03999999999999204,True,0.5599999999999454,29.811028663545226,602.0
566411803,1,PASS,8561,FC Brentford,1553280,Michael Kayode,1,2,12,444,21.1,13.9,10.0,34.0,True,132.444,-1.0,82.845,58.548,94.5,44.879999999999995,1330,1330,0.04399999999998272,True,0.5599999999999454,29.811028663545226,602.0
566411804,1,PASS,8561,FC Brentford,1247852,Caoimhin Kelleher,1,2,14,581,9.7,34.2,,,False,134.581,-1.0,94.815,44.744,,,1352,1352,0.019000000000005457,True,0.5599999999999454,29.811028663545226,602.0
46765470,49,BALL RECOVERY,1928,Arsenal FC,1267742,Piero Hincapie,1,2,16,410,52.9,73.8,53.0,74.0,True,136.41,1.0,55.545,50.184,55.650000000000006,50.32,1370,1370,0.009999999999990905,True,0.5599999999999454,29.811028663545226,602.0
