,AERIAL,CLEARANCE,NO EVENT,PASS,POSSESSION_CHANGE_GROUP,SHOT_OR_GK_GROUP
AERIAL,93,130,793,446,374,308
CLEARANCE,9,25,116,36,41,58
NO EVENT,895,2306,15887,10340,8310,3061
PASS,818,1995,12196,9141,7042,1959
POSSESSION_CHANGE_GROUP,100,252,1928,1101,936,330
SHOT_OR_GK_GROUP,26,48,478,117,110,333
